department;municipality;dane code;dane code dept;longitude;latitude;node;region
CAQUETA;PUERTO RICO;18592;18;-75,157604;1,909063;Con Nodo;Región2
SANTANDER;BUCARAMANGA;68001;68;-73,132562;7,11647;Con Nodo;Región1
HUILA;NEIVA;41001;41;-75,277327;2,935432;Con Nodo;Región1
NARIÑO;PASTO;52001;52;-77,278795;1,212352;Con Nodo;Región1
CASANARE;YOPAL;85001;85;-72,396132;5,327102;Con Nodo;Región1
BOGOTA. D.C.;BOGOTA. D.C.;11001;11;-74,106992;4,649251;Con Nodo;Región1
CAUCA;POPAYAN;19001;19;-76,599377;2,459641;Con Nodo;Región1
ARAUCA;TAME;81794;81;-71,754427;6,453324;Con Nodo;Región3
BOYACA;TUNJA;15001;15;-73,355539;5,53988;Con Nodo;Región1
META;VILLAVICENCIO;50001;50;-73,622601;4,126369;Con Nodo;Región1
NORTE DE SANTANDER;CUCUTA;54001;54;-72,508178;7,905725;Con Nodo;Región1
BOYACA;CHIQUINQUIRA;15176;15;-73,818745;5,61379;Con Nodo;Región1
NORTE DE SANTANDER;OCAÑA;54498;54;-73,35607;8,248574;Sin Nodo;Región1
NORTE DE SANTANDER;PAMPLONA;54518;54;-72,647714;7,372802;Con Nodo;Región1
CAQUETA;SAN JOSE DEL FRAGUA;18610;18;-75,973796;1,330266;Con Nodo;Región2
RISARALDA;LA VIRGINIA;66400;66;-75,880394;4,896624;Con Nodo;Región1
CALDAS;VICTORIA;17867;17;-74,911239;5,317437;Con Nodo;Región1
BOYACA;GACHANTIVA;15293;15;-73,549092;5,751891;Con Nodo;Región3
CUNDINAMARCA;PAIME;25518;25;-74,152213;5,370487;Con Nodo;Región3
CUNDINAMARCA;VILLAGOMEZ;25871;25;-74,195145;5,273024;Con Nodo;Región1
CUNDINAMARCA;YACOPI;25885;25;-74,33806;5,459272;Con Nodo;Región1
RISARALDA;PUEBLO RICO;66572;66;-76,030801;5,222043;Con Nodo;Región2
CUNDINAMARCA;LA PEÑA;25398;25;-74,394105;5,198945;Con Nodo;Región3
CUNDINAMARCA;TOPAIPI;25823;25;-74,300626;5,336224;Con Nodo;Región1
SANTANDER;ARATOCA;68051;68;-73,01786;6,694418;Con Nodo;Región2
QUINDIO;SALENTO;63690;63;-75,570844;4,637157;Con Nodo;Región1
NARIÑO;SAN ANDRES DE TUMACO;52835;52;-78,764073;1,807399;Con Nodo;Región2
CUNDINAMARCA;SAN ANTONIO DEL TEQUENDAMA;25645;25;-74,351443;4,616138;Con Nodo;Región2
CHOCO;ATRATO;27050;27;-76,635674;5,531419;Con Nodo;Región3
SANTANDER;CIMITARRA;68190;68;-73,953011;6,320886;Con Nodo;Región1
META;SAN MARTIN;50689;50;-73,695812;3,701899;Con Nodo;Región2
NARIÑO;BARBACOAS;52079;52;-78,13765;1,671733;Con Nodo;Región3
BOYACA;SOCHA;15757;15;-72,691963;5,996717;Con Nodo;Región2
CALDAS;MANIZALES;17001;17;-75,491025;5,057657;Con Nodo;Región1
NORTE DE SANTANDER;RAGONVALIA;54599;54;-72,476708;7,577861;Con Nodo;Región3
NORTE DE SANTANDER;SARDINATA;54720;54;-72,800577;8,082105;Sin Nodo;Región2
TOLIMA;ALPUJARRA;73024;73;-74,9329;3,391548;Con Nodo;Región3
CHOCO;ISTMINA;27361;27;-76,68518;5,153946;Con Nodo;Región3
RISARALDA;PEREIRA;66001;66;-75,719711;4,804985;Con Nodo;Región1
NORTE DE SANTANDER;EL TARRA;54250;54;-73,09614;8,574281;Con Nodo;Región3
